Entity,Code,Year,co-emissions-per-capita,gdp-per-capita-worldbank,live-expectancy,long-run-air-pollution,total-healthcare-expenditure-gdp,unemployement-rate,co-emissions-per-capita_normalized,gdp-per-capita-worldbank_normalized,live-expectancy_normalized,long-run-air-pollution_normalized,total-healthcare-expenditure-gdp_normalized,unemployement-rate_normalized,social_score,environmental_score,economic_score,sustainability_index
Kiribati,KIR,2024.0,0.5386222,3257.1362,66.4731,594.77246,10.49855,,98.8360573246334,2.8198049476921634,38.263098517397324,99.99719453769991,41.403682754840155,,39.833390636118736,99.41662593116666,2.8198049476921634,47.35660717165919
Kosovo,OWID_KOS,2024.0,4.777991,16380.868,78.0326,19730.014,,,88.65346258129365,12.68248538117568,74.12605413333084,99.90693615764054,,,74.12605413333084,94.2801993694671,12.68248538117568,60.36291296132453
Kuwait,KWT,2024.0,26.24753,45426.945,80.4047,376851.53,4.26876,2.144,37.085499217660924,34.51104601187644,81.48541370913914,98.22244163735301,12.408149036529013,94.17103343642411,46.946781372834074,67.65397042750698,64.34103972415028,59.64726384149711
Kyrgyzstan,KGZ,2024.0,1.6379259,7046.31,71.677,70958.71,4.92259,3.289,96.1956255516407,5.667425644750937,54.408021284797,99.66529723691677,15.451293317643358,90.86371593627823,34.92965730122018,97.93046139427874,48.26557079051458,60.375229828671166
Laos,LAO,2024.0,3.140345,8610.901,68.9637,143984.7,2.01825,1.218,92.58694568638501,6.843239146372816,45.99010031306703,99.32084339002625,1.9335201022637472,96.84577230553772,23.96181020766539,95.95389453820563,51.844505725955266,57.25340349060877
Latvia,LVA,2024.0,3.4520962,38936.047,76.1898,46182.457,7.62168,6.72,91.83814644760449,29.633039231797518,68.40882980623692,99.78216351503751,28.01376413989522,80.95331738343934,48.21129697306607,95.810154981321,55.29317830761843,66.43821008733518
Lebanon,LBN,2024.0,2.6955004,11330.269,77.817,120721.84,5.735,11.543,93.65542368376119,8.886884808580055,73.45716246580234,99.43057119538261,19.23252214688049,67.02214506623096,46.34484230634142,96.5429974395719,37.954514937405506,60.28078489443961
Lesotho,LSO,2024.0,1.100255,2637.9165,57.3749,12414.488,12.65128,16.147,97.48706423939694,2.354452095905179,10.036242443615023,99.94144251726301,51.42321074878858,53.72355138005486,30.7297265962018,98.71425337832997,28.03900173798002,52.49432723750393
Liberia,LBR,2024.0,0.15310843,1658.26,62.1625,23683.662,13.47386,2.882,99.76202783417885,1.6182256062656286,24.889608619214613,99.88828732778077,55.25177417163403,92.03933010445235,40.07069139542432,99.8251575809798,46.828777855358986,62.241542277254375
Libya,LBY,2024.0,8.841596,12275.91,69.3389,250086.66,4.65006,18.615,78.89303718211417,9.597548141992567,47.154145552662,98.82037460782114,14.182847221667199,46.594765711618145,30.668496387164602,88.85670589496766,28.096156926805357,49.207119736312535
Liechtenstein,LIE,2024.0,3.2992606,,83.6298,0.8412923,,,92.2052442516821,,91.49117677475158,99.99999603173652,,,91.49117677475158,96.10262014170931,,93.79689845823044
Lithuania,LTU,2024.0,4.386505,47169.008,76.025,62114.36,7.24335,7.504,89.59377786730772,35.820232371810704,67.89754341102035,99.70701485527081,26.252889331651502,78.68874365408182,47.07521637133593,94.65039636128927,57.25448801294626,66.32670024852382
Luxembourg,LUX,2024.0,10.459649,128181.7,82.2294,24886.748,5.55155,5.935,75.00661475709535,96.70248022849323,87.14648340180695,99.88261253171378,18.378684271025254,83.22077959969657,52.7625838364161,87.44461364440457,89.9616299140949,76.72294246497187
Macao,MAC,2024.0,1.4665723,112843.96,83.0749,6330.0796,,2.437,96.60720197938917,85.17593956939066,89.76961839668319,99.97014185950313,,93.32470677481473,89.76961839668319,98.28867191944616,89.2503231721027,92.43620449607734
Madagascar,MDG,2024.0,0.14166704,1657.0497,63.6317,77422.87,3.25023,3.012,99.78950905677749,1.61731604774138,29.447751652298184,99.63480665707094,7.667568542144539,91.66382680749255,18.557660097221362,99.71215785692422,46.64057142761697,54.97012979392085
